,um,reflectance,uncertainty
179,1.5975,0.003618,0.000154
180,1.6025,0.003688,0.00018
181,1.6075,0.003724,0.000169
182,1.6125,0.003706,0.000178
183,1.6175,0.00374,0.000175
184,1.6225,0.00373,0.00018
185,1.6275,0.0037,0.000154
186,1.6325,0.003677,0.000163
187,1.6375,0.003662,0.000148
188,1.6425,0.003666,0.000151
189,1.6475,0.003664,0.000155
190,1.6525,0.00373,0.000142
191,1.6575,0.003733,0.000129
192,1.6625,0.003727,0.000116
193,1.6675,0.00373,0.00011
194,1.6725,0.003744,0.000112
195,1.6775,0.003743,0.000147
196,1.6825,0.003751,0.00016
197,1.6875,0.003795,0.000167
198,1.6925,0.003818,0.000173
199,1.6975,0.003835,0.000142
200,1.7025,0.003861,0.000136
201,1.7075,0.003898,0.000143
202,1.7125,0.003913,0.000132
203,1.7175,0.003895,0.000154
204,1.7225,0.003894,0.00014
205,1.7275,0.003871,0.000104
206,1.7325,0.00387,0.000146
207,1.7375,0.003704,0.000169
208,1.7425,0.003828,0.000119
209,1.7475,0.003711,0.000151
210,1.7525,0.003704,0.000158
211,1.7575,0.003856,0.000126
212,1.7625,0.003855,0.00013
213,1.7675,0.003891,0.000133
214,1.7725,0.003906,0.000146
215,1.7775,0.0039,0.000154
216,1.7825,0.003923,0.000175
217,1.7875,0.003958,0.000147
218,1.7925,0.003923,0.000116
219,1.7975,0.003961,8.7e-05
220,1.8025,0.003903,7e-05
221,1.8075,0.003931,6e-05
222,1.8125,0.003876,8.4e-05
223,1.8175,0.003861,0.000119
224,1.8225,0.003892,0.000154
225,1.8275,0.003908,0.000177
226,1.8325,0.003973,0.000151
227,1.8375,0.003967,0.000145
228,1.8425,0.003967,0.000124
229,1.8475,0.003966,0.000136
230,1.8525,0.003932,0.000127
231,1.8575,0.003934,0.000124
232,1.8625,0.003957,0.000129
233,1.8675,0.003986,0.000103
234,1.8725,0.00399,0.000112
235,1.8775,0.003947,0.000123
236,1.8825,0.003981,0.000128
237,1.8875,0.003966,0.000143
238,1.8925,0.003938,0.000114
239,1.8975,0.004102,0.000144
240,1.9025,0.004091,0.00013
241,1.9075,0.004072,0.0001
242,1.9125,0.003983,7.2e-05
243,1.9175,0.003917,0.000133
244,1.9225,0.003923,0.000148
245,1.9275,0.0039,0.000129
246,1.9325,0.003845,7.7e-05
247,1.9375,0.003862,7.7e-05
248,1.9425,0.003878,0.000136
249,1.9475,0.003867,0.000114
250,1.9525,0.003886,9.6e-05
251,1.9575,0.003889,0.000111
252,1.9625,0.003862,0.000136
253,1.9675,0.00382,0.000139
254,1.9725,0.003782,0.000106
255,1.9775,0.003762,0.000133
256,1.9825,0.003744,0.000153
257,1.9875,0.00372,0.000134
258,1.9925,0.003705,0.000128
259,1.9975,0.003681,0.000131
260,2.0025,0.003678,0.000102
261,2.0075,0.003692,9.1e-05
262,2.0125,0.003729,0.000132
263,2.0175,0.003719,0.000148
264,2.0225,0.003697,0.000135
265,2.0275,0.003682,0.000106
266,2.0325,0.00368,0.000111
267,2.0375,0.00372,0.000113
268,2.0425,0.003759,0.000134
269,2.0475,0.003835,0.000146
270,2.0525,0.003821,0.000156
271,2.0575,0.003715,0.000119
272,2.0625,0.003697,7.7e-05
273,2.0675,0.00373,7.1e-05
274,2.0725,0.003779,5.7e-05
275,2.0775,0.003886,8.3e-05
276,2.0825,0.003919,6.9e-05
277,2.0875,0.003953,5.5e-05
278,2.0925,0.003915,0.000103
279,2.0975,0.003939,9.8e-05
280,2.1025,0.003979,0.00013
281,2.1075,0.003958,0.000151
282,2.1125,0.003964,0.000174
283,2.1175,0.00399,0.000176
284,2.1225,0.00404,0.000147
285,2.1275,0.004085,0.000115
286,2.1325,0.004099,0.000117
287,2.1375,0.004137,0.000103
288,2.1425,0.004149,9.5e-05
289,2.1475,0.004177,0.000119
290,2.1525,0.004213,0.000135
291,2.1575,0.00417,0.000145
292,2.1625,0.004151,0.000142
