,um,reflectance,uncertainty
172,1.5625,0.005121,8.1e-05
173,1.5675,0.005081,0.000124
174,1.5725,0.0051,0.000101
175,1.5775,0.005084,0.000141
176,1.5825,0.005134,0.00014
177,1.5875,0.005224,0.000133
178,1.5925,0.005237,0.000121
179,1.5975,0.005227,0.000121
180,1.6025,0.005164,0.000107
181,1.6075,0.005182,9.9e-05
182,1.6125,0.005177,8.9e-05
183,1.6175,0.005208,8.8e-05
184,1.6225,0.005236,7e-05
185,1.6275,0.005236,8e-05
186,1.6325,0.005262,7.1e-05
187,1.6375,0.005258,0.000132
188,1.6425,0.005255,6.4e-05
189,1.6475,0.005281,9.3e-05
190,1.6525,0.005286,8.9e-05
191,1.6575,0.005303,6e-05
192,1.6625,0.005294,7.5e-05
193,1.6675,0.005317,8.5e-05
194,1.6725,0.00536,7.8e-05
195,1.6775,0.005286,7.3e-05
196,1.6825,0.005271,0.000101
197,1.6875,0.005361,8e-05
198,1.6925,0.00543,9e-05
199,1.6975,0.005409,6.9e-05
200,1.7025,0.005449,9.5e-05
201,1.7075,0.005496,8.5e-05
202,1.7125,0.005477,8e-05
203,1.7175,0.005413,7.1e-05
204,1.7225,0.005427,9.2e-05
205,1.7275,0.00546,0.000101
206,1.7325,0.005493,9.6e-05
207,1.7375,0.00546,0.000124
208,1.7425,0.005445,0.000172
209,1.7475,0.005618,9.3e-05
210,1.7525,0.005594,0.000166
211,1.7575,0.005523,0.000208
212,1.7625,0.005524,8.1e-05
213,1.7675,0.005584,9.3e-05
214,1.7725,0.005583,8e-05
215,1.7775,0.005523,0.000129
216,1.7825,0.00551,0.00015
217,1.7875,0.005518,0.000131
218,1.7925,0.005503,0.000128
219,1.7975,0.005446,0.000125
220,1.8025,0.00558,0.000121
221,1.8075,0.005637,0.0001
222,1.8125,0.005601,0.000115
223,1.8175,0.005573,0.000118
224,1.8225,0.005579,9.6e-05
225,1.8275,0.005567,9.8e-05
226,1.8325,0.005575,0.000102
227,1.8375,0.005524,8.8e-05
228,1.8425,0.005584,0.000106
229,1.8475,0.005611,0.000108
230,1.8525,0.005627,6.4e-05
231,1.8575,0.00571,0.000108
232,1.8625,0.005785,0.000135
233,1.8675,0.005807,0.000115
234,1.8725,0.005771,0.000113
235,1.8775,0.005727,0.000126
236,1.8825,0.005762,0.00016
237,1.8875,0.005693,0.000101
238,1.8925,0.005678,9.8e-05
239,1.8975,0.005624,8.2e-05
240,1.9025,0.005635,0.000105
241,1.9075,0.005711,0.000118
242,1.9125,0.005728,0.000119
243,1.9175,0.0057,0.000114
244,1.9225,0.005728,0.000115
245,1.9275,0.005575,6.7e-05
246,1.9325,0.005597,0.000119
247,1.9375,0.005643,0.000124
248,1.9425,0.005656,0.000115
249,1.9475,0.005626,9e-05
250,1.9525,0.005622,0.000117
251,1.9575,0.005636,0.000114
252,1.9625,0.005657,0.000133
253,1.9675,0.005533,9.7e-05
254,1.9725,0.005518,8.7e-05
255,1.9775,0.005515,8.6e-05
256,1.9825,0.005412,0.0001
257,1.9875,0.005394,0.00011
258,1.9925,0.00539,8.2e-05
259,1.9975,0.005398,8.8e-05
260,2.0025,0.005419,0.000108
261,2.0075,0.005384,0.000123
262,2.0125,0.005408,0.000144
263,2.0175,0.005412,0.000139
264,2.0225,0.005468,0.000103
265,2.0275,0.00555,0.000112
266,2.0325,0.005543,0.000124
267,2.0375,0.005542,8.3e-05
268,2.0425,0.005519,0.000112
269,2.0475,0.005571,0.000139
270,2.0525,0.00554,0.000101
271,2.0575,0.005457,0.000164
272,2.0625,0.005485,0.000162
273,2.0675,0.005567,0.000183
274,2.0725,0.005547,0.000147
275,2.0775,0.005626,0.000134
276,2.0825,0.005619,0.000101
277,2.0875,0.005634,7.9e-05
278,2.0925,0.005627,0.000121
279,2.0975,0.005648,0.000116
280,2.1025,0.00571,0.000124
281,2.1075,0.005736,9.5e-05
282,2.1125,0.00571,6.3e-05
